LINE,LOC,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,1,46.02,144.37,12.72,13.06,12.91,13.97,15.43,1.08,1.02,1.2,0.71,0.58,1.24,0.06,0.07,0.51,0.02,157.15,162.1,0.04,140.53,100.23,0.02,0.02,0,0.21,0.05,0,0.07,0.38,0.74,0.89,0.88,1.02,0.43,177.51,169.86,121.63,141.13,74,-7.01,31.95,102.46,32.74,1.53,0.6,0.22
2,1,87.98,504.95,29.44,30.25,19.75,21.57,22.57,0.71,0.67,0.8,0.73,0.52,1.41,0.06,0.13,0.5,0.04,194.73,214.78,0.17,165.4,148.28,0,0,0,0.25,0.07,0,0.13,0.39,0.73,0.89,0.88,0.67,0.43,144.46,150.85,101.06,119.36,64.66,-13.27,31.03,113.17,33.75,1.65,0.58,0.24
3,1,86.33,417.43,14.73,16.74,31.16,32.36,33.35,1.93,2.12,2.2,1.04,0.5,2.17,0.08,0.22,0.51,0.02,166,80.05,0.06,89.6,75.7,0,0.06,0,0.46,0.03,0,0.33,0.21,0.77,0.89,0.89,2.12,0.45,166.87,166.15,119.35,135.65,71.8,-9.82,29.98,108.14,31.56,2.49,0.55,0.26
4,1,113.96,834.06,36.05,36.77,26.14,29.34,30.59,0.81,0.73,0.86,0.82,0.52,1.67,0.06,0.11,0.53,0.07,224.48,226.7,0.16,143.93,134.4,0.01,0.17,0,0.25,0.06,0,0.18,0.39,0.71,0.89,0.89,0.74,0.44,156.28,153.57,112.62,127.1,66.91,-7.86,26.8,106.34,27.93,2.85,0.64,0.21
5,1,132.08,818.06,18.31,22.03,48.49,51.14,51.69,2.33,2.65,2.8,1.15,0.48,2.4,0.09,0.29,0.45,0.03,237.4,78.8,0.12,62.63,46.9,0,0,0,0.53,0.1,0,0.65,0.16,0.76,0.88,0.89,2.67,0.46,163.41,165.05,111.93,131.38,71.03,-11.73,33.52,109.33,35.52,1.21,0.61,0.22
6,1,142.95,1027.69,22.58,26.12,48.81,54.1,54.38,2.08,2.16,2.42,1.06,0.43,2.46,0.09,0.24,0.45,0.05,254.6,61.43,0.2,73.88,52.28,0,0,0,0.47,0.1,0,0.62,0.21,0.72,0.88,0.88,2.17,0.46,165.36,163.53,118.29,134.15,70.77,-9.01,29.23,107.21,30.6,1.71,0.61,0.21
7,1,197.37,1839.28,30.37,31.05,78.63,81.98,83.08,2.66,2.6,2.76,0.62,0.42,1.52,0.06,0.29,0.41,0,116.73,63.8,0.01,63.48,50.58,0,0,0,0.21,0.11,0,0.4,0.42,0.77,0.89,0.89,2.61,0.35,117.86,125.59,82.57,98.33,54.25,-12.52,26.83,115.05,29.62,8.08,0.53,0.27
8,1,241.18,2079.22,25.19,31.05,89.26,99.8,100.86,3.24,3.56,4.02,0.97,0.41,2.38,0.09,0.36,0.4,0.03,183.63,93.48,0.11,34.68,30.13,0,0.24,0,0.39,0.26,0,1.12,0.33,0.71,0.89,0.92,3.57,0.46,110.87,116.02,76.05,90.72,50.46,-10.71,25.32,112.88,27.5,2.49,0.64,0.25
9,1,546.41,3277.44,14.44,41.85,192.05,229.89,243.38,6.51,13.66,17.63,1.49,0.62,2.45,0.18,0.47,0.23,0.08,104.45,83.03,0.04,20.1,10.25,0,0.29,0,0.6,0.76,0,3.91,0.08,0.67,0.96,0.98,13.75,0.57,121.68,122.43,91.03,101.01,53.78,-7.35,20.29,109.98,21.58,3.42,0.56,0.25
10,1,147.73,1031.69,20.85,24.15,51.94,56.96,57.63,2.37,2.52,2.81,1.1,0.54,2.08,0.09,0.28,0.47,0.04,253.43,132.38,0.18,79.28,50.48,0,0,0,0.48,0.14,0,0.6,0.17,0.73,0.88,0.89,2.53,0.48,181.7,177.59,124.51,144.47,76.58,-9.41,34.28,105.38,35.56,1.02,0.55,0.26
11,1,129.73,770.16,16.91,22.08,47.41,50.95,51.36,2.32,2.8,3.06,1.19,0.44,2.74,0.1,0.3,0.4,0.03,230.45,148.58,0.11,51.78,41.75,0,0.06,0,0.53,0.13,0,0.71,0.19,0.74,0.88,0.89,2.81,0.48,184.42,173.59,120.76,143.67,75.61,-6.31,35.2,100.17,35.77,1.06,0.58,0.24
12,1,151.12,903.1,17.84,19.33,55.12,63.18,64.01,3.29,3.1,3.61,0.93,0.44,2.1,0.08,0.35,0.41,0.01,148.05,82.03,0.04,49.63,35.43,0,0,0,0.37,0.18,0,0.7,0.32,0.7,0.88,0.88,3.11,0.46,140.63,146.06,89.39,111.33,62.8,-13.64,35.4,111.1,37.95,1.38,0.51,0.28
13,1,362.06,2494.77,17.57,24.34,151.55,162.94,164.34,6.76,8.62,9.45,1.07,0.48,2.25,0.12,0.46,0.4,0.08,45.58,12.75,0.01,28.23,20.65,0,0.04,0,0.5,0.26,0,2.13,0.19,0.74,0.89,0.93,8.69,0.47,138.35,140.12,87.33,107.73,60.82,-11.31,33.6,108.59,35.46,3.69,0.55,0.25
14,1,453.39,5348.58,31.98,47.2,172.49,191.07,192.8,4.1,5.44,6.11,1.22,0.54,2.29,0.12,0.42,0.36,0.01,91.28,71.48,0.01,43.85,15.53,0,0.25,0,0.55,0.64,0,3.08,0.14,0.72,0.91,0.89,5.47,0.49,138.46,146.26,87.58,110.42,62.7,-15.06,36.28,112.56,39.28,1.76,0.56,0.25
15,1,347.41,3837.44,30.1,40.68,127.04,141.08,143.98,3.47,4.25,4.95,1.21,0.61,1.98,0.1,0.39,0.43,0.01,194.15,110.15,0.08,54.78,37.6,0,0,0,0.55,0.41,0,1.75,0.09,0.72,0.89,0.92,4.26,0.5,136.26,145.23,92.45,111.94,62.16,-14.74,32.41,114.45,35.61,3.23,0.8,0.17
16,1,387.94,3407.52,23.69,47.31,130.03,155.85,166.73,3.42,5.52,7.22,1.28,0.59,2.14,0.19,0.41,0.31,0.02,199.98,23.45,0.07,31.55,21.3,0,0.04,0,0.49,0.92,0,1.55,0.18,0.66,1.01,1.06,5.54,0.55,133.61,137.25,93.6,108.89,59.59,-10.85,27.63,111.35,29.69,3.82,0.56,0.25
